"boro_ct201","n_bldgs","res_units","res_area"
3035500,175,1885,1889390
3035601,1,1547,1800000
3035602,20,2983,3112961
3035700,108,993,892149
3035900,321,2331,2232088
3036001,60,1856,1763112
3036002,53,2233,2327516
3036100,242,985,864433
3036200,444,1554,1122497
3036300,509,2111,2266166
3036400,307,1064,928447
3036501,202,1615,1129880
3036502,231,538,499932
3036600,311,1474,1215949
3036700,222,502,378872
3036900,586,2181,1875496
3037000,594,1650,1496890
3037100,607,1684,1471765
3037300,439,1893,1629514
3037401,412,1960,1754757
3037402,308,2260,1916862
3037500,424,1606,1466348
3037700,568,1668,1455128
3037900,510,1521,1349237
3038100,441,2462,2250932
3038200,139,2105,1731050
3038300,638,1820,1508563
3038500,486,1546,1361009
3038600,625,1238,1023104
3038700,496,1824,1611999
3038800,495,1508,1343696
3038900,308,1296,1120060
3039000,385,851,900655
3039100,241,2141,1801734
3039200,366,1102,1132782
3039300,435,1769,1505914
3039400,417,832,1141531
3039500,419,1747,1471259
3039600,385,771,1067744
3039700,429,1439,1282794
3039800,478,906,785177
3039900,380,1346,1247855
3040000,509,1123,997932
3040100,458,1316,1119109
3040200,428,905,776313
3040300,521,1390,1278433
3040400,375,866,775036
3040500,275,658,563322
3040600,453,1150,992061
3040700,2,0,0
3040800,479,1083,933835
3040900,370,1292,1099587
3041000,331,718,669490
3041100,395,1173,992789
3041200,398,1081,1028306
3041300,478,1314,1245590
3041401,199,523,692318
3041402,204,733,1165986
3041500,507,1291,1118686
3041600,365,824,984407
3041700,211,1382,1265296
3041800,299,957,1201228
3041900,329,1390,1375426
3042000,350,576,726593
3042100,414,1471,1356947
3042200,522,1222,1406111
3042300,443,1534,1419643
3042400,407,1379,1311458
3042500,267,1346,1171236
3042600,451,1491,1389433
3042700,394,1859,1559807
3042800,371,1449,1492879
3042900,358,1998,1627372
3043000,264,1336,1253302
3043100,403,1739,1354933
3043200,366,1460,1338968
3043300,282,1386,1206846
3043400,327,1357,1363984
3043500,467,1367,1278189
3043600,339,1572,1450189
3043700,461,1781,1599141
3043800,242,985,1035266
3043900,464,1195,1112779
3044000,414,1020,1212952
3044100,397,1890,1516757
3044200,367,945,1301796
3044300,440,1862,1576844
3044400,379,1234,1369223
3044500,426,1591,1362094
3044600,267,670,633219
3044700,218,874,791816
3044800,225,854,959159
3044900,554,1142,982242
3045000,149,184,252765
3045200,361,974,1337708
3045300,320,694,455871
3045400,306,604,698182
3045600,251,909,1163356
3045800,256,559,1096418
3046000,333,1271,1525506
3046201,200,1130,1135052
3046202,307,583,755368
3046400,386,781,806720
3046800,275,572,697320
3047000,433,882,1163446
3047200,355,766,1259051
3047400,418,908,1351541
3047600,497,1175,1540363
3047700,490,1985,1707845
3047800,518,1401,1566421
3048000,328,1183,1111614
3048100,342,1485,1201356
3048200,330,2204,1961170
3048400,341,1781,1864159
3048500,504,734,632953
3048600,357,925,808065
3048800,310,1473,1513471
3048900,4,1425,1412700
3049000,270,2242,2287897
3049100,198,2687,2466776
3049200,322,1089,1115543
3049300,260,3499,2875302
3049400,262,2100,2168153
3049500,363,1437,1230113
3049600,507,1391,1391481
3049700,420,1831,1554575
3049800,424,1633,1532231
3049900,243,1056,946772
3050000,367,1633,1741520
3050100,407,1555,1248511
3050202,326,1115,1094473
3050300,377,1272,1025979
3050400,276,2201,2453954
3050500,192,2096,1847727
3050600,252,2029,1917577
3050700,194,771,988104
3050801,69,1503,1640675
3050803,69,1034,965457
3050804,78,2748,2696907
3050900,191,1023,1365916
3051001,68,1465,1482363
3051002,125,2003,1974959
3051100,192,2043,1946350
3051200,90,2377,2567942
3051300,437,2679,2434339
3051400,177,2675,2841094
3051500,139,1298,1155868
3051601,195,2030,1978402
3051602,117,1516,1395217
3051700,162,1550,1449372
3051800,212,1413,1899429
3051900,472,3333,3221987
3052000,343,1394,1564033
3052300,263,2426,2045072
3052500,122,1399,1275868
3052600,239,1727,1859213
3052700,344,2640,2149333
3052800,271,680,969594
3052900,322,1081,1026139
