"n_bldgs","res_units","res_area","boro_code","tract"
6,0,0,2,24900
468,1047,964658,2,25000
357,2199,2129663,2,25100
504,982,909210,2,25200
167,2004,1957646,2,25300
401,852,769829,2,25400
150,2136,2151559,2,25500
293,656,707802,2,25600
72,676,710121,2,25700
2,1116,1151670,2,26100
128,1954,1818372,2,26300
989,2133,1979343,2,26400
199,2190,2193308,2,26500
308,1448,1389676,2,26601
602,2721,2437782,2,26602
54,1393,1435673,2,26701
154,2431,2682794,2,26702
142,1606,1565651,2,26900
244,2661,2813342,2,27300
1240,1842,1985247,2,27401
725,1334,1516706,2,27402
6,1,1326,2,27600
212,1817,1801457,2,27700
322,3156,3312269,2,27900
60,2032,2006336,2,28100
66,478,456229,2,28300
70,15,14425,2,28400
211,1824,1686897,2,28500
292,513,477871,2,28600
266,1330,1382019,2,28700
671,1197,1368345,2,28800
109,2014,2020703,2,28900
51,1050,1400441,2,29301
153,2894,3324352,2,29302
195,2227,2627873,2,29500
217,1025,852242,2,29600
142,2097,2438274,2,29700
771,2671,2490739,2,30000
66,648,775807,2,30100
102,4572,5636352,2,30200
149,2992,3659447,2,30701
231,1951,2613638,2,30900
882,1204,1450069,2,31000
413,586,608223,2,31200
445,619,674048,2,31400
412,667,605631,2,31600
368,589,613076,2,31800
6,0,0,2,31900
224,2873,3042203,2,32300
167,1261,1040475,2,32400
638,1074,1131060,2,32600
265,1478,1371647,2,32800
214,2164,2021621,2,33000
47,2041,1707169,2,33201
96,1603,1590520,2,33202
9,0,205050,2,33400
301,910,1611031,2,33500
118,12364,2470876,2,33600
609,1255,1411261,2,33700
334,1363,1227995,2,33800
291,1813,1645879,2,34000
269,551,519745,2,34200
229,605,719311,2,34300
347,582,530566,2,34400
407,1688,1759542,2,34500
778,2076,1994387,2,34800
393,666,606637,2,35000
266,1240,1453844,2,35100
428,664,680029,2,35600
1384,2177,2221525,2,35800
65,1276,1281002,2,35900
538,907,797415,2,36000
91,2436,2479274,2,36100
273,2673,2530065,2,36300
501,818,834752,2,36400
124,1510,1310033,2,36501
154,905,813658,2,36502
157,904,810110,2,36700
336,579,533522,2,36800
101,796,743696,2,36901
62,908,807035,2,36902
419,792,720751,2,37000
335,1981,1798838,2,37100
253,764,770860,2,37200
303,2162,1895034,2,37300
175,1564,1451794,2,37400
158,1657,1433770,2,37504
199,724,704789,2,37600
197,1228,1126652,2,37800
200,2226,1986790,2,37900
413,1935,1791137,2,38000
181,2365,2185593,2,38100
429,850,837447,2,38200
124,1603,1351048,2,38301
127,2113,1914850,2,38302
283,2165,1799311,2,38500
746,2757,2616191,2,38600
201,1344,1106584,2,38700
442,850,793169,2,38800
355,1971,1675422,2,38900
439,1078,1059047,2,39000
375,2578,2147855,2,39100
180,585,605498,2,39200
195,2802,2335010,2,39300
249,1692,1569327,2,39400
441,1816,1568944,2,39500
545,1484,1328163,2,39600
113,582,1208259,2,39700
526,1027,960909,2,39800
167,1742,1689010,2,39901
135,1770,1568170,2,39902
85,1665,1462250,2,40100
34,1409,1563579,2,40302
121,1555,1629440,2,40303
50,1399,1511023,2,40304
554,1053,1005862,2,40400
147,1361,1388832,2,40501
233,2516,2539284,2,40502
466,1337,1175786,2,40600
48,1202,1218023,2,40701
198,2732,2527411,2,40702
236,1582,1418411,2,40800
44,1416,1674883,2,40900
111,1401,1361899,2,41100
212,3090,3180387,2,41300
765,1821,1723796,2,41400
157,2383,2511582,2,41500
347,1307,1181141,2,41800
195,2664,2741615,2,41900
191,1450,1286488,2,42000
77,2475,2679228,2,42100
371,1125,1081316,2,42200
120,1444,1506064,2,42300
451,798,695820,2,42400
260,2494,2495729,2,42500
1273,2075,2170137,2,42600
438,705,652303,2,42800
117,1296,1304257,2,42901
153,1676,1549588,2,42902
540,1011,956543,2,43000
173,3647,3630012,2,43100
475,1255,1172907,2,43400
13,484,475543,2,43500
405,689,647187,2,43600
514,1306,1182806,2,44200
707,1286,1270846,2,44400
443,699,661241,2,44800
326,881,1030281,2,44901
351,946,999654,2,44902
214,908,953624,2,45101
322,963,1050697,2,45102
752,1044,1167489,2,45600
2,2039,2039000,2,45800
272,1010,942842,2,46000
139,11328,13502018,2,46201
1041,2455,2588603,2,46202
764,1206,1250773,2,48400
2,0,0,2,50400
1460,2128,2431398,2,51600
553,96,210098,3,0
233,2572,2979968,3,100
282,343,271779,3,200
269,2396,2619780,3,301
162,2400,2163905,3,501
151,1686,1552893,3,502
395,2446,2743426,3,700
201,2873,2738831,3,900
69,946,807594,3,1100
35,1315,1148452,3,1300
133,5941,5326742,3,1500
180,2,6709,3,1800
279,406,333383,3,2000
246,2912,3480581,3,2100
413,1494,1445087,3,2200
11,1510,1335300,3,2300
11,946,898055,3,2901
274,725,797133,3,3000
21,1971,1862395,3,3100
304,2745,2182116,3,3300
466,1454,1661451,3,3400
141,1279,1246712,3,3500
266,1895,1974668,3,3600
114,2296,2412441,3,3700
253,720,849515,3,3800
276,1025,969693,3,3900
488,1872,1648088,3,4100
344,1897,1788578,3,4300
717,1036,1597436,3,4400
469,1863,1919531,3,4500
334,449,793404,3,4600
144,850,813274,3,4700
257,1077,1027083,3,4900
365,1127,1423448,3,5000
400,1146,1043661,3,5100
139,1167,711542,3,5201
126,1499,1575008,3,5202
824,1168,1278043,3,5300
279,1805,1746741,3,5400
224,1524,1563778,3,5601
97,1014,858683,3,5602
459,1656,1459959,3,5800
345,707,616377,3,5900
448,1190,1140278,3,6000
317,1294,1301676,3,6200
240,1083,909747,3,6300
470,1545,1620996,3,6400
784,2756,2432682,3,6500
317,1651,1556286,3,6600
505,1685,1776633,3,6700
480,1834,1625890,3,6800
508,1812,1706325,3,6900
188,1076,1006739,3,7000
288,1863,1515830,3,7100
133,577,483203,3,7200
420,1440,1275905,3,7400
797,2342,2125362,3,7500
449,1244,1088035,3,7600
668,2928,2566180,3,7700
433,1430,1206804,3,7800
403,1260,946875,3,8000
341,1340,1059142,3,8200
404,1059,827207,3,8400
7,2884,2289661,3,8500
1,0,0,3,8600
236,1121,902093,3,8800
239,905,689204,3,9000
298,1641,1391088,3,9200
444,1490,1436060,3,9400
509,1730,1416179,3,9600
480,1718,1414651,3,9800
520,1711,1518517,3,10000
636,1455,1087582,3,10100
481,1351,1183828,3,10200
493,1637,1442761,3,10400
525,1417,1282856,3,10600
463,1463,1255658,3,10800
298,719,616362,3,11000
358,2028,1933629,3,11200
358,1278,1230741,3,11400
407,1409,1276348,3,11600
496,1327,1122578,3,11700
225,683,637717,3,11800
398,673,552835,3,11900
198,327,278231,3,12000
329,925,772889,3,12100
410,1463,1332687,3,12200
307,894,854020,3,12600
193,2165,1619814,3,12700
217,695,639605,3,12801
324,1070,989685,3,12901
312,1679,1461262,3,12902
490,1848,1770874,3,13000
491,1928,1725876,3,13100
312,765,718360,3,13200
485,2035,1846360,3,13300
651,1576,1605462,3,13400
346,1672,1621817,3,13500
591,1696,1761916,3,13600
447,1698,1420573,3,13700
460,1377,1415737,3,13800
507,1668,1448477,3,13900
377,835,922244,3,14000
445,1767,1633244,3,14100
320,1419,1368408,3,14200
520,1717,1296136,3,14300
556,1839,1503725,3,14500
293,998,756148,3,14700
332,539,611697,3,14800
805,2446,2020523,3,14900
363,714,641413,3,15000
523,1739,1703104,3,15100
412,912,843051,3,15200
407,1393,1182500,3,15300
2,0,0,3,15400
418,1641,1697851,3,15500
474,2222,2223424,3,15700
522,2806,2923095,3,15900
421,1805,1556264,3,16000
382,1679,1690957,3,16100
254,1270,969068,3,16200
365,1998,1960527,3,16300
13,522,779078,3,16400
536,2573,3261133,3,16500
610,798,1116004,3,16600
521,2359,2081671,3,16700
291,742,656227,3,16800
609,2204,1923848,3,16900
564,1223,1110632,3,17000
622,1752,1699633,3,17100
552,1127,964855,3,17200
409,744,652076,3,17400
1,0,6525,3,17500
232,918,773350,3,17600
10,0,0,3,17700
329,929,889821,3,17800
291,1481,1572913,3,17900
421,1042,903570,3,18000
