"lon","lat","boro_ct201","avg_price_1y","sd_price_1y","med_price_1y","n_sales_1y","avg_price_3y","sd_price_3y","med_price_3y","n_sales_3y","avg_price_5y","sd_price_5y","med_price_5y","n_sales_5y","year","n_bldgs","res_units","res_area","bldg_age"
-73.96123872,40.5763649,"3036002",208.716696766884,68.5859550798463,203.340595497458,5,202.494933210208,60.136592592613,199.404219101465,27,188.038221518336,65.3942506586367,171.815134099617,43,2017,53,2233,2327516,85.622641509434
-73.95625321,40.72653111,"3056100",845.659227821826,326.21724559204,800.595238095238,19,875.704511660571,315.956736396438,852.911381254405,54,779.509773321009,337.00841496868,777.777777777778,81,2017,509,1771,1590724,97.7379032258064
-73.96151777,40.77138085,"1012800",1383.68238205362,1098.68999021088,1032.22261901492,123,1339.92832904078,1018.58345243304,1100.64557095989,409,1391.99275560492,1016.59428192176,1131.38686131387,737,2017,263,3997,6853106,94.0798479087453
-73.8692346,40.85947861,"2033201",179.351239078967,62.1882422926786,180.787140200704,37,183.3309401692,64.0415304826786,180.788363047896,79,189.237719907204,134.071174991612,180.255064041855,112,2017,47,2041,1707169,62.2666666666667
-73.81373529,40.69378736,"4015200",331.733917308929,108.764944357556,303.396097200634,12,287.616881494398,104.32753461992,292.467948717949,33,277.668838469038,92.3016340243933,291.004715327005,50,2017,436,735,719739,87.9011764705882
-73.80929653,40.6943816,"4020600",260.776939358387,102.188721619857,253.399258343634,7,274.309008313109,109.335130578788,264.63963963964,29,266.971765061947,104.850828676249,268.231593662628,38,2017,295,529,509664,80.5281690140845
-73.77891736,40.71758468,"4047200",463.081577020603,153.625738196454,493.092691622103,26,385.000215802235,157.084723663956,399.251253240716,74,361.055449693752,155.907991950865,379.809770860354,105,2017,566,1332,1676252,73.400365630713
-73.92950843,40.63756866,"3093200",260.04670855542,71.8682368312453,269.565217391304,6,272.721491425779,98.7832741300103,293.204169944925,14,261.451588520409,88.7227253269056,275.148826725234,22,2017,374,386,355938,78.5412087912088
-73.73698572,40.7012577,"4059000",354.071826554548,131.548455636889,337.5,9,337.282206196707,101.769071653879,346.634615384615,22,305.24957802328,99.3880819111699,304.651386748844,38,2017,314,351,382052,76.6913183279743
-73.93315815,40.76028792,"4004700",454.063600853066,32.902710557521,454.293575137565,4,443.729625648582,47.9965658204244,425.663082037645,10,405.052185637052,75.0753422774434,421.052631578947,17,2017,168,1633,1370780,79.0186335403727
-73.90477136,40.67132701,"3090800",257.953784173167,125.747157266693,223.629032258065,6,220.800046189588,94.6510772416743,198.924731182796,15,203.60727305765,88.1617120615308,191.849703849951,30,2017,294,2046,1250727,65.1156069364162
-74.10495097,40.58119485,"5011402",350.478397798987,192.858265053753,288.018433179724,69,311.350744331611,144.939168518012,271.362586605081,183,301.651353763214,131.06011661891,269.175349600808,268,2017,908,1406,1518531,60.6761687571266
-73.87601927,40.66875382,"3111800",267.440620578955,91.4243551682038,245.624833643865,22,248.645025308702,96.557930787248,228.132387706856,61,234.938367502911,109.290834715965,213.095238095238,103,2017,418,1011,923785,76.546835443038
-73.84560722,40.77730387,"4091900",461.307551800068,125.834024921736,437.018786572221,30,426.926939353707,122.377211941386,411.032989490074,94,390.976490389806,129.902673546889,382.046568627451,159,2017,928,1740,1678460,71.2455357142857
-73.84476812,40.78248171,"4092500",460.554844128473,141.302012759716,441.551228468582,20,400.522980617482,113.869216957539,390.747634343946,76,342.768794603002,116.304546823021,338.623693033299,148,2017,671,1231,1166583,80.1503067484663
-73.95683933,40.63318734,"3076600",457.161631273182,151.196307346145,535.204567078972,5,428.599466356162,174.42320220403,448.638613861386,23,442.258686296392,351.518040231297,328.256302521008,43,2017,112,758,946867,97.212962962963
-73.96476633,40.7669261,"1012000",1260.49758112364,704.068253062766,1093.36462913548,88,1387.46185991753,870.994232700329,1218.31771194358,271,1328.60188570534,924.443472570641,1115.98912461303,496,2017,237,2950,4807210,102.474576271186
-73.90828472,40.68451755,"3040300",383.231192953168,139.749355571814,359.002968485727,16,329.171018461737,146.508276904876,317.339352143854,82,261.315180090196,139.009799168521,220,181,2017,521,1390,1278433,93.5330578512397
-73.95369507,40.70840053,"3052700",638.428888220604,326.264551842578,544.027161862528,10,635.380834545031,300.016694708569,593.75,43,532.225053143766,284.824981310846,507.049220875587,71,2017,344,2640,2149333,72.4132492113565
-73.9545056,40.70587128,"3052900",350.955937768476,159.842165448184,272.83170591614,12,329.972443620431,146.98983413615,272.83170591614,19,351.703700589386,120.022280499122,346.756216243758,42,2017,322,1081,1026139,103.569620253165
-73.7939763,40.71657686,"4045600",365.34814209297,100.964283111094,331.578947368421,7,349.96536045621,106.443996859463,338.528167151547,16,348.113916402723,100.500424085995,335.476973684211,26,2017,230,309,418551,83.2763157894737
