"boro_ct201","violation_rate","felony_rate","misdemeanor_rate"
"3011000",4.09668168783286,6.96435886931585,23.7607537894306
"3011200",2.79676817899316,4.03977625854568,12.119328775637
"3011400",7.04225352112676,6.79074446680081,14.0845070422535
"3011600",1.24584717607973,8.30564784053156,11.6279069767442
"3011700",8.88324873096447,13.9593908629442,18.1895093062606
"3011800",4.43852640923213,32.8450954283178,57.7008433200178
"3011900",26.1437908496732,67.3202614379085,115.686274509804
"3012000",6.30914826498423,37.8548895899054,51.2618296529968
"3012100",5.55898702903027,12.3533045089561,28.4126003705991
"3012200",2.99681588312418,11.6126615471062,20.6031091964787
"3012600",4.52488687782805,21.1161387631976,45.6259426847662
"3012700",10.5503279155974,16.823495865412,37.9241516966068
"3012801",0.472366556447804,10.3920642418517,10.8644307982995
"3012901",18.5270958777212,41.2227883279296,64.3816581750811
"3012902",8.65580448065173,23.9307535641548,56.5173116089613
"3013000",5.00834724540902,11.4774624373957,18.1552587646077
"3013100",6.26959247648903,7.83699059561128,16.19644723093
"3013200",8.48593121929433,17.8651183564091,22.7780259044216
"3013300",2.94906166219839,9.11528150134048,10.7238605898123
"3013400",3.58331200409521,10.4939851548503,23.2915280266189
"3013500",5.0055617352614,10.845383759733,18.3537263626251
"3013600",4.32900432900433,11.7137764196588,13.4963076139547
"3013700",8.83218842001963,11.7762512266928,32.3846908734053
"3013800",8.83838383838384,20.2020202020202,62.1843434343434
"3013900",6.894570525711,11.2036771042804,19.5346164895145
"3014000",3.83351588170865,8.21467688937568,13.1434830230011
"3014100",5.96619158104077,12.2638382499171,26.5164070268479
"3014200",7.13620850139622,7.44647843623953,27.6140242010549
"3014300",4.01491253226269,12.3315170633783,15.4860911958704
"3014500",3.58937544867193,8.13591768365638,17.9468772433597
"3014700",2.87907869481766,6.23800383877159,11.9961612284069
"3014800",3.3085194375517,9.92555831265509,19.8511166253102
"3014900",7.03376205787781,10.048231511254,19.2926045016077
"3015000",3.17662007623888,14.6124523506989,25.4129606099111
"3015100",3.63331470095025,10.0614868641699,12.2973728339855
"3015200",3.03161541792984,10.3941100043309,19.9220441749675
"3015300",8.5498191384413,14.4689246958237,22.6899046366327
"3015400",0,0,0
"3015500",4.58435207823961,7.64058679706601,11.0024449877751
"3015700",2.66021765417171,7.49697702539299,8.70616686819831
"3015900",3.9714058776807,9.92851469420175,16.878474980143
"3016000",8.06260374673939,10.433957789898,22.764998814323
"3016100",15.609756097561,30.2439024390244,72.520325203252
"3016200",3.36215177713737,3.36215177713737,9.12584053794428
"3016300",14.7107990638582,17.0511534603811,24.4065529923103
"3016400",0,2.61780104712042,5.23560209424084
"3016500",2.72320560202295,6.02995526162225,5.05738183232834
"3016600",1.94269062651773,11.6561437591064,19.4269062651773
"3016700",1.72488141440276,5.60586459680897,7.33074601121173
"3016800",1.98675496688742,3.3112582781457,3.3112582781457
"3016900",2.00133422281521,5.78163219924394,8.22770736046253
"3017000",3.99508297480025,7.99016594960049,7.68285187461586
"3017100",0.800213390237397,4.00106695118698,6.93518271539077
"3017200",4.09416581371546,10.9177755032412,22.8590924599113
"3017400",5.57724484104852,7.25041829336308,13.9431121026213
"3017500",0,0,0
"3017600",3.05010893246187,6.10021786492375,13.5076252723312
"3017700",0,0,0
"3017800",8.62663906142167,12.4223602484472,21.0489993098689
"3017900",8.55408388520971,12.1412803532009,24.2825607064018
"3018000",2.81866583150642,9.39555277168807,9.39555277168807
"3018100",2.79471544715447,14.7357723577236,16.0060975609756
"3018200",6.32311097059753,6.63926651912741,21.1824217515017
"3018300",4,14,18.4
"3018400",0.999000999000999,7.49250749250749,9.49050949050949
"3018501",16.9845832244578,21.949307551607,43.898615103214
"3018600",2.82485875706215,2.35404896421846,7.53295668549906
"3018700",9.21332388377038,26.2225372076541,68.0368532955351
"3018800",5.68181818181818,9.84848484848485,20.0757575757576
