"boro_ct201","noise_rate","housing_rate","street_rate"
"1016800",349.074889867841,99.0308370044053,146.960352422907
"1016900",232.486433152442,298.347311297484,188.332511100148
"1017000",317.377466581795,275.747931253978,135.709739019733
"1017100",161.308265658026,177.661586383357,128.4903771276
"1017200",460.9375,371.366279069767,176.417151162791
"1017300",193.645821680277,205.28023268822,156.281463250923
"1017401",293.44512195122,436.547256097561,69.7408536585366
"1017402",426.660296225514,590.062111801242,167.701863354037
"1017500",146.580406654344,220.702402957486,104.990757855823
"1017700",511.856627690963,146.869194623538,87.5314173314392
"1017800",498.977505112474,666.155419222904,279.907975460123
"1017900",194.124609921446,270.203378887335,118.153448832455
"1018000",344.30176565008,341.359015516319,129.4810058855
"1018100",136.025265057523,201.669298443492,88.8788630724115
"1018200",439.125295508274,404.698581560284,101.063829787234
"1018300",278.643129110419,322.71835698627,187.146648205838
"1018400",258.32801531589,206.509253350351,108.232291001914
"1018500",160.859188544153,94.7494033412888,106.443914081146
"1018600",481.845290299947,206.80582353973,70.5139449219435
"1018700",182.973033207043,251.392912859372,120.904836193448
"1018800",697.237017310253,541.777629826898,227.030625832224
"1018900",331.861089460466,265.177102277648,86.0829652723651
"1019000",413.233863120337,366.850470321116,180.668180343821
"1019100",200.522311797434,329.283524469172,133.530146474395
"1019200",649.274553571429,56.9196428571429,80.6361607142857
"1019300",478.743478743479,363.747363747364,105.672105672106
"1019400",235.895089966453,207.227813357731,107.04483074108
"1019500",321.703062095889,415.883859948762,102.842503354886
"1019600",307.809717629102,431.442381073518,191.554311879929
"1019701",664.586583463339,219.96879875195,586.583463338534
"1019702",322.00956937799,375.598086124402,196.650717703349
"1019800",479.101358411703,541.274817136886,356.844305120167
"1019900",116.156597774245,204.789348171701,83.7639109697933
"1020000",956.218519953506,519.178612940721,386.671832623014
"1020101",50.2599653379549,33.5066435586366,72.212593876372
"1020102",557.826649417853,405.174644243208,150.582147477361
"1020300",52.0231213872832,80.9248554913295,102.945224332508
"1020500",61.63096580233,42.8410372040586,63.5099586621571
"1020600",729.775662814412,541.80829367777,398.708361658736
"1020701",118.654250525683,58.8765395013518,66.3863021928507
"1020800",522.544108037465,565.018514484862,266.390764539316
"1020901",349.578001633542,264.633814320719,95.5622107269262
"1021000",231.42986288986,87.5395510019587,43.543769775501
"1021100",222.071636011617,251.790900290416,110.55179090029
"1021200",213.50861287398,258.612873980054,150.045330915685
"1021303",466.453105534793,711.158569140416,94.3228332443495
"1021400",196.267910696435,1075.3082305898,91.6361212929024
"1021500",660.039113428944,714.471968709257,137.22294654498
"1021600",835.494970884066,485.044997353097,169.798835362626
"1021703",0,0,0
"1021800",812.603899047907,431.917787517002,219.88816684298
"1021900",472.521999003819,231.778183629421,136.808899219658
"1022000",596.83426443203,718.063314711359,167.411545623836
"1022102",366.896551724138,749.425287356322,294.252873563218
"1022200",914.523449319213,552.193645990923,486.384266263238
"1022301",1072.88114184666,646.583301755716,78.5651130478717
"1022302",177.843426883309,622.156573116691,60.8567208271787
"1022400",681.499922203205,283.647113738914,145.013225455111
"1022500",736.230170460144,761.848457976155,79.515223174697
"1022600",804.393859184754,782.953943885654,348.861831656961
"1022700",442.023026315789,906.044407894737,288.856907894737
"1022800",435.022865853659,841.653963414634,208.079268292683
"1022900",759.277108433735,577.469879518072,83.3734939759036
"1023000",557.364914877868,607.204539847027,126.32617813965
"1023100",571.184995737425,690.366581415175,156.351236146633
"1023200",599.498746867168,445.238095238095,73.3082706766917
"1023300",617.89489811552,923.088708441857,113.528420407538
"1023400",849.4960806271,745.800671892497,133.482642777156
"1023501",596.435709526982,560.126582278481,120.586275816123
